,F1 Score(toxic),F1 Score(severe_toxic),F1 Score(obscene),F1 Score(insult),F1 Score(threat),F1 Score(identity_hate)
LogisticRegression,0.8572366261896949,0.8047058823529412,0.835033415406261,0.8422138191818496,0.6228070175438597,0.5590062111801242
KNeighborsClassifier,0.6842340330504689,0.6713581984517946,0.684434490481523,0.6831794640846657,0.3671497584541063,0.3619866284622732
CalibratedClassifierCV,0.8484848484848484,0.9041666666666667,0.8783382789317506,0.8808828302499188,0.8137931034482758,0.7258687258687259
RandomForestClassifier,0.8139309900032248,0.8709359605911331,0.8454753348578895,0.8438899552143314,0.7397260273972602,0.6788990825688074
GradientBoostingClassifier,0.6895177361498604,0.7605985037406484,0.7947169811320756,0.7688804554079697,0.7181467181467182,0.5970149253731344
MLPClassifier,0.8329113924050633,0.8964824120603015,0.8549520766773162,0.8549715009499682,0.7861635220125787,0.7016759776536313
