,F1 Score(toxic),F1 Score(severe_toxic),F1 Score(obscene),F1 Score(insult),F1 Score(threat),F1 Score(identity_hate)
LogisticRegression,0.8502994011976048,0.8891108891108891,0.8763613068545804,0.8805590851334181,0.8059701492537314,0.7101063829787234
KNeighborsClassifier,0.7116473774932284,0.7050997782705101,0.7155425219941348,0.7255048616305161,0.40776699029126207,0.4188087774294671
CalibratedClassifierCV,0.8111143955069465,0.8543111992071357,0.7438540840602695,0.8089635854341736,0.6864406779661018,0.34018691588785044
RandomForestClassifier,0.8130932896890344,0.884920634920635,0.8466338259441707,0.8494382022471909,0.75,0.686936936936937
GradientBoostingClassifier,0.6835236541598696,0.7534766118836915,0.7911077041011882,0.7666539779215835,0.7228915662650602,0.6008968609865472
MLPClassifier,0.8221518987341773,0.8682634730538922,0.8443037974683545,0.8395926161680458,0.7582089552238807,0.6827133479212254
